City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
175,quatre cocos,MU,28.89,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
176,veraval,IN,25.76,clear sky,20.9,70.3667,Lords Inn Somnath
179,port blair,IN,28.12,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
190,cururupu,BR,24.66,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
192,grand gaube,MU,28.89,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
193,praia,CV,21.0,clear sky,14.9215,-23.5087,LT Aparthotel
194,fomboni,KM,28.63,broken clouds,-12.28,43.7425,Auberge les abou
195,rosita,NI,21.0,clear sky,13.9268,-84.4032,Hospedaje Osejo
196,axim,GH,25.87,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
199,picos,BR,21.29,overcast clouds,-7.0769,-41.4669,Entre Rios Hotel
201,coruripe,BR,25.0,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
202,wattegama,LK,28.0,broken clouds,6.7989,81.4808,
203,harper,LR,25.47,few clouds,4.375,-7.7169,Screensaver
211,doka,SD,21.67,clear sky,13.5167,35.7667,
213,calabozo,VE,26.34,overcast clouds,8.9242,-67.4293,Hotel Giardini
216,the valley,AI,26.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
223,maldonado,UY,21.11,broken clouds,-34.6667,-54.9167,La Cimarrona
225,sainte-marie,RE,27.0,light rain,-20.8968,55.5496,Les pailles en queue de Sainte Marie
226,dwarka,IN,22.86,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
227,tabuk,PH,25.98,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
228,saint-georges,GD,26.0,few clouds,12.0564,-61.7485,Siesta Hotel
229,hwange,ZW,20.57,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
231,okitipupa,NG,24.83,scattered clouds,6.5047,4.7839,Coastal Hotel & Suites
238,sassandra,CI,24.85,clear sky,4.95,-6.0833,la terrasse
240,dovers,VC,26.14,broken clouds,12.8833,-61.1833,Ocean Breeze
243,pedernales,DO,24.48,clear sky,18.0384,-71.744,Hotel Costa Marina
246,manta,EC,26.0,broken clouds,-0.95,-80.7333,Balandra Hotel
255,sao felix do xingu,BR,21.87,few clouds,-6.6447,-51.995,Rio Xingu Camping
257,takoradi,GH,26.03,few clouds,4.8845,-1.7554,Raybow International Hotel
258,camocim,BR,25.05,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
259,inirida,CO,23.65,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
262,santa vitoria do palmar,BR,21.96,few clouds,-33.5189,-53.3681,Hostel Comodoro
267,amapa,BR,22.06,broken clouds,1.0,-52.0,
268,cabedelo,BR,26.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
271,oranjestad,AW,26.0,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
273,oistins,BB,26.0,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
274,jaguaribe,BR,25.44,overcast clouds,-5.8906,-38.6219,Hotel Pinheiro
276,camana,PE,21.05,overcast clouds,-16.6228,-72.7111,Hostal Morales
277,bosaso,SO,21.34,scattered clouds,11.2842,49.1816,Red Sea Hotel
279,naifaru,MV,28.49,broken clouds,5.4444,73.3657,Naifaru Residence Guest House
290,ambilobe,MG,24.78,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
295,petlawad,IN,23.5,clear sky,23.0,74.8,Gurjar Hotel
296,luanda,AO,26.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
298,timbo,BR,23.89,overcast clouds,-26.8233,-49.2717,Timbó Park Hotel
299,robertsport,LR,25.9,light rain,6.7533,-11.3686,Kwepunha Retreat
302,puerto el triunfo,SV,28.0,clear sky,13.2833,-88.55,Hotel Jardin
303,dabakala,CI,20.27,clear sky,8.3667,-4.4333,Hôtel Campement
304,sambava,MG,25.63,broken clouds,-14.2667,50.1667,Melrose
306,saint-louis,SN,21.9,overcast clouds,16.3333,-15.0,
311,eyl,SO,21.18,few clouds,7.9803,49.8164,Amiin Hotel
313,mwanza,TZ,20.03,broken clouds,-2.5167,32.9,Gold Crest Hotel
315,presidencia roque saenz pena,AR,23.89,moderate rain,-26.7852,-60.4388,Hotel Gualok
320,alta floresta,BR,22.6,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
323,mana,GF,24.72,overcast clouds,5.6592,-53.7767,LE SAMANA
324,meulaboh,ID,29.87,scattered clouds,4.1363,96.1285,Kost Pria
325,tucurui,BR,22.97,clear sky,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
330,richards bay,ZA,20.44,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
332,san vicente,AR,20.36,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
333,salaverry,PE,20.08,overcast clouds,-8.2333,-78.9667,ELACORP Alojamiento
335,mushie,CD,21.88,light rain,-3.0167,16.9,
336,kisangani,CD,20.56,few clouds,0.5167,25.2,Grand Ramela Hotel
338,maragogi,BR,25.04,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
343,bakel,SN,21.14,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
344,malanville,BJ,20.57,clear sky,11.8685,3.3899,DEVO HOTEL
346,alvaraes,BR,23.23,overcast clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
347,tambopata,PE,24.05,overcast clouds,-12.7333,-69.1833,
348,mancio lima,BR,22.99,overcast clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
352,labrea,BR,22.89,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
359,bataipora,BR,22.12,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
368,morant bay,JM,26.0,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
369,boca do acre,BR,23.29,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
