City_ID,City,Country,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Current Description
664,cabo rojo,PR,18.0866,-67.1457,26.11,84,11,1.79,few clouds
665,alegrete,BR,-29.7831,-55.7919,23.75,82,92,2.67,overcast clouds
666,xuddur,SO,4.1213,43.8894,17.66,87,66,8.72,broken clouds
667,abong mbang,CM,3.9833,13.1833,19.42,92,11,0.9,few clouds
668,chitungwiza,ZW,-18.0127,31.0756,18.33,92,100,0.45,overcast clouds
669,sartana,UA,47.1744,37.6927,4.44,100,99,0.89,overcast clouds
670,macau,MO,22.2006,113.5461,23.0,73,0,2.06,clear sky
671,alexandria,EG,31.2156,29.9553,11.0,93,100,1.03,overcast clouds
672,nueva granada,CO,9.8017,-74.393,25.73,69,98,1.16,overcast clouds
673,polunochnoye,RU,60.8697,60.4153,-11.1,94,27,3.26,scattered clouds
674,kalemie,CD,-5.9475,29.1947,21.83,85,100,2.33,overcast clouds
675,murgab,TM,37.4966,61.9714,1.0,93,0,2.06,clear sky
676,anzio,IT,41.4853,12.6179,10.56,98,4,0.89,clear sky
677,beaverton,US,45.4871,-122.8037,9.44,93,90,5.66,overcast clouds
678,razole,IN,16.4833,81.8333,24.0,78,20,3.6,mist
679,buraydah,SA,26.326,43.975,12.0,54,0,2.57,clear sky
680,akdepe,TM,42.0551,59.3788,-3.0,80,0,2.06,clear sky
681,semnan,IR,35.5729,53.3971,4.3,63,0,0.38,clear sky
682,la argentina,CO,2.1961,-75.98,16.32,86,100,1.57,overcast clouds
683,tukrah,LY,32.5341,20.5791,13.26,76,97,3.03,overcast clouds
